                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.5428,                0.92479,                 1.1819,                0.58299,                0.54319,                0.52287,                 0.2723,                 1.4773,                0.87071,                 1.0798,             0.00096537,             0.00096537,             0.00096537
                     72,                 1.5272,                0.90659,                 1.1742,                0.56833,                0.52814,                0.51246,                0.27343,                 1.4458,                0.85213,                 1.0786,             0.00096125,             0.00096125,             0.00096125
                     73,                 1.5247,                0.90274,                 1.1712,                0.60084,                0.53806,                0.53609,                0.28048,                 1.4401,                0.88252,                 1.0797,             0.00095712,             0.00095712,             0.00095712
                     74,                 1.5196,                0.89778,                 1.1875,                0.57385,                0.52982,                0.51979,                0.27225,                 1.4759,                0.92086,                 1.0869,               0.000953,               0.000953,               0.000953
                     75,                 1.5073,                0.90153,                 1.1771,                0.62625,                 0.5281,                0.55924,                0.28867,                 1.4392,                 0.8811,                 1.0772,             0.00094887,             0.00094887,             0.00094887
                     76,                 1.5519,                0.92064,                 1.1785,                0.58227,                0.54669,                0.55309,                0.29011,                  1.436,                 0.8354,                 1.0784,             0.00094475,             0.00094475,             0.00094475
                     77,                 1.5232,                0.91906,                 1.1905,                0.61815,                0.52469,                0.52755,                0.28012,                 1.4424,                0.87601,                  1.081,             0.00094062,             0.00094062,             0.00094062
                     78,                   1.51,                0.87783,                 1.1641,                0.64945,                0.51887,                0.53425,                0.27497,                 1.4786,                0.93342,                 1.0826,              0.0009365,              0.0009365,              0.0009365
                     79,                 1.5244,                0.89042,                 1.1742,                0.62756,                0.54866,                0.55403,                0.28909,                 1.4629,                0.89184,                 1.0825,             0.00093238,             0.00093238,             0.00093238
                     80,                 1.5244,                0.90203,                 1.1764,                0.56787,                0.53958,                0.53946,                0.27955,                 1.4479,                0.88328,                  1.076,             0.00092825,             0.00092825,             0.00092825
                     81,                  1.506,                0.88691,                  1.158,                0.58302,                0.53313,                0.54459,                0.28248,                 1.4654,                 0.8728,                 1.0777,             0.00092413,             0.00092413,             0.00092413
                     82,                 1.5168,                0.91735,                 1.1825,                0.62269,                0.54646,                0.55237,                0.29201,                 1.4224,                0.83166,                 1.0731,                0.00092,                0.00092,                0.00092
                     83,                 1.4908,                0.87393,                 1.1618,                0.60491,                 0.5534,                0.54049,                0.28348,                  1.426,                0.86178,                 1.0727,             0.00091588,             0.00091588,             0.00091588
